26,20762,62,169,42
27,27040,79,176,92
28,23722,61,151,17
29,26837,35,75,37
30,22987,54,124,48
31,27547,26,78,64
32,30932,97,165,20
33,24993,69,66,32
34,27198,37,134,4
35,23674,96,86,22
36,27683,77,153,56
37,24612,59,16,45
38,22641,68,41,32
39,30553,57,127,67
40,23909,89,71,5
41,29703,92,40,20
42,28021,81,38,33
43,27466,20,94,95
44,27796,28,62,61
45,25263,16,89,50
46,30594,48,71,27
47,22554,41,159,36
48,21939,51,192,74
49,21686,30,55,83
50,30909,13,46,99
51,27882,13,173,88
52,20231,48,21,87
53,28312,46,134,69
54,25774,67,64,50
55,25792,31,5,62
56,27828,39,78,33
57,27249,55,27,67
58,28202,74,97,16
59,21900,92,63,55
60,21223,26,157,48
61,24476,42,133,28
62,20001,41,4,56
63,20923,18,101,17
64,25640,9,135,89
65,26033,5,197,63
66,29580,59,56,78
67,24932,90,152,12
68,27158,20,17,51
69,30619,73,41,71
70,27474,75,125,9
71,31074,13,125,2
72,31264,6,123,65
73,25200,83,99,54
74,31929,32,188,75
75,27573,3,191,29
