1,30176,20,63
2,28271,73,18
3,21279,21,80
4,26230,71,34
5,21149,25,70
5,21155,25,71
6,27280,62,16
7,26634,8,44
8,31872,48,32
9,21277,2,51
10,23272,84,62
11,25576,82,2
12,21660,11,91
13,24929,64,5
14,20628,79,69
15,27270,91,27
16,25412,10,19
17,23154,66,21
18,26582,5,11
19,22568,86,77
20,26052,96,23
20,26053,96,24
21,29093,2,77
22,25476,77,95
23,28820,34,8
24,29459,53,66
25,31643,56,84
26,20762,42,3
27,27040,49,99
28,23722,43,35
29,26837,39,65
30,22987,98,18
31,27547,54,41
32,30932,4,55
33,24993,7,83
34,27198,46,63
35,23674,10,18
36,27683,92,63
37,24612,26,42
38,22641,45,69
39,30553,6,9
40,23909,27,46
41,29703,27,89
42,28021,83,45
43,27466,54,57
44,27796,31,99
45,25263,88,30
46,30594,82,64
47,22554,44,62
48,21939,99,48
49,21686,34,10
50,30909,47,71
